Genus,Subgenus,Species,Author ,Local_Label,Y_Latitude,X_Longitude,Refs,Observations
Alcaeorrhynchus,,grandis,"Dallas, 1851",FRENCH GUIANA: Montagne des Chevaux,4.71,-52.4,Lupoli 2019,
Alcaeorrhynchus,,grandis,"Dallas, 1851",FRENCH GUIANA: Roura,4.72,-52.32,Lupoli 2019,
Alcaeorrhynchus,,grandis,"Dallas, 1851",FRENCH GUIANA: Saül,3.62,-53.2,Lupoli 2019,
Alcaeorrhynchus,,grandis,"Dallas, 1851","MEXICO: Veracruz, Atoyac",18.93,-96.8,Ortega León 1997,
Alcaeorrhynchus,,grandis,"Dallas, 1851","MEXICO: Veracruz, Cuesta de Misantla",19.98,-96.89,Ortega León 1997,
Alcaeorrhynchus,,grandis,"Dallas, 1851","MEXICO: Veracruz, Xalapa de Enriquez",19.53,-96.91,Ortega León 1997,
Alcaeorrhynchus,,grandis,"Dallas, 1851","MEXICO: Coahuila, Saltillo",25.42,-101,Ortega León 1997,
Alcaeorrhynchus,,grandis,"Dallas, 1851","MEXICO: Tamaulipas, Gomez Farias",22.96,-99.07,Ortega León 1997,
Alcaeorrhynchus,,grandis,"Dallas, 1851","MEXICO: San Luis Potosi, Ciudade Valles",21.99,-99.01,Ortega León 1997,
Alcaeorrhynchus,,grandis,"Dallas, 1851","MEXICO: Jalisco, Guadalajara",20.66,-103.39,Ortega León 1997,
Alcaeorrhynchus,,grandis,"Dallas, 1851","MEXICO: Jalisco, Chamela",19.52,-105.07,Ortega León 1997,
Alcaeorrhynchus,,grandis,"Dallas, 1851","MEXICO: Michoacan, Tinganbato",19.49,-101.86,Ortega León 1997,
Alcaeorrhynchus,,grandis,"Dallas, 1851","MEXICO: Michoacan, La Huacana",18.88,-101.87,Ortega León 1997,
Alcaeorrhynchus,,grandis,"Dallas, 1851","MEXICO: Veracruz, Almolonga",19.59,-96.78,Ortega León 1997,
Alcaeorrhynchus,,grandis,"Dallas, 1851",MEXICO: Fortin de Las Flores,18.9,-97,Ortega León 1997,
