genus,Species,Local_Label,decimalLongitude,decimalLatitude,Refs,country,continent,realm,country_level_record
Afrius,Afrius purpureus,SOUTH AFRICA: Pretoria ,28.24,-25.73,Distant 1892; Roell et al. 2019,South Africa,Africa,Afrotropic,No
Afrius,Afrius purpureus,SOUTH SUDAN: Latuka ,32.55,4.64,"Schouteden 1905, 1909; Roell et al. 2019",South Sudan,Africa,Afrotropic,No
Afrius,Afrius purpureus,TANZANIA: Arusha: Oldean Rd: 3800 ft ,35.54,-3.34,Roell et al. 2019,Tanzania,Africa,Afrotropic,No
Afrius,Afrius purpureus,TANZANIA: Bububu ,39.22,-5.92,Jeannel 1913; Roell et al. 2019,Tanzania,Africa,Afrotropic,No
Afrius,Afrius purpureus,TANZANIA: Kagera ,31.25,-1.91,Roell et al. 2019,Tanzania,Africa,Afrotropic,No
Afrius,Afrius purpureus,TANZANIA: Kilimanjaro ,37.35,-3.07,"Schouteden 1905, 1910; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019",Tanzania,Africa,Afrotropic,No
Afrius,Afrius purpureus,TANZANIA: Morogoro,37.25,-7.91667,CeNak,Tanzania,Africa,Afrotropic,No
Afrius,Afrius purpureus,TANZANIA: Musoma: Banagi Hill ,34.83,-2.3,Leston 1952; Roell et al. 2019,Tanzania,Africa,Afrotropic,No
Afrius,Afrius purpureus,TANZANIA: Old Shinyanga: Boma ,33.41,-3.56,Roell et al. 2019,Tanzania,Africa,Afrotropic,No
Afrius,Afrius purpureus,TANZANIA: Usambara ,38.5,-4.75,Schouteden 1905; Roell et al. 2019,Tanzania,Africa,Afrotropic,No
Afrius,Afrius purpureus,TOGO: Atakpamé ,1.13,7.53,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Togo,Africa,Afrotropic,No
Afrius,Afrius purpureus,UGANDA:: Eastern Mbale Dist.: S of Mt Elgon ,34.18,1.08,Roell et al. 2019,Uganda,Africa,Afrotropic,No
Afrius,Afrius purpureus,UGANDA:: Entebe ,32.46,0.05,Roell et al. 2019,Uganda,Africa,Afrotropic,No
Afrius,Afrius purpureus,UGANDA:: Kadungulu: Eastern Province ,33.2,1.51,Roell et al. 2019,Uganda,Africa,Afrotropic,No
Afrius,Afrius purpureus,UGANDA:: Kampala ,32.58,0.34,Roell et al. 2019,Uganda,Africa,Afrotropic,No
Afrius,Afrius purpureus,UGANDA:: Kigezi Dist . Afr. Exp.: Mabungo Camp. 6000 ft: ,31.63,0.46,Roell et al. 2019,Uganda,Africa,Afrotropic,No
Afrius,Afrius purpureus,UGANDA:: Mbale: Kumi Rd: 3700 ft S. of L. Salisbury ,34.18,1.96,Roell et al. 2019,Uganda,Africa,Afrotropic,No
Afrius,Afrius purpureus,YEMEN: Wādī Risyān ,43.28,13.56,Linnavuori 1989; Roell et al. 2019,Yemen,Asia,Afrotropic,No
Alcaeorrhynchus,Alcaeorrhynchus grandis,"ARGENTINA:  Buenos Aires, Flores",-58.56,-34.92,Dellape et al 2003,Argentina,South America,Neotropic,No
